PROVINCIA,CANTON,MES,DIA,HORA,CLASE,CAUSA,ZONA,NUM_LESIONADO,NUM_FALLECIDO,TOTAL_VICTIMAS
COTOPAXI,LATACUNGA,ENERO,JUEVES,00:00 A 00:59,CHOQUES,EMBRIAGUEZ O DROGA,URBANA,1,0,1
COTOPAXI,LATACUNGA,ENERO,JUEVES,00:00 A 00:59,CHOQUES,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
MANABÍ,PORTOVIEJO,ENERO,VIERNES,00:00 A 00:59,PÉRDIDA DE PISTA,EXCESO VELOCIDAD,URBANA,1,0,1
SANTO DOMINGO DE LOS TSÁCHILAS,SANTO DOMINGO,ENERO,DOMINGO,00:00 A 00:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,1,0,1
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,ENERO,DOMINGO,00:00 A 00:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
GUAYAS,GUAYAQUIL,FEBRERO,VIERNES,00:00 A 00:59,ATROPELLOS,EXCESO VELOCIDAD,URBANA,1,0,1
COTOPAXI,PUJILÍ,FEBRERO,SÁBADO,00:00 A 00:59,CHOQUES,EMBRIAGUEZ O DROGA,RURAL,1,0,1
EL ORO,MACHALA,FEBRERO,VIERNES,00:00 A 00:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
ESMERALDAS,ATACAMES,FEBRERO,SÁBADO,00:00 A 00:59,CHOQUES,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,1,1,2
CHIMBORAZO,COLTA,FEBRERO,MARTES,00:00 A 00:59,PÉRDIDA DE PISTA,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,0,1,1
ESMERALDAS,RÍOVERDE,FEBRERO,MIÉRCOLES,00:00 A 00:59,CHOQUES,MAL REBASAMIENTO INVADIR CARRIL,URBANA,1,1,2
LOJA,CALVAS,FEBRERO,MARTES,00:00 A 00:59,CHOQUES,EMBRIAGUEZ O DROGA,RURAL,0,0,0
TUNGURAHUA,AMBATO,FEBRERO,JUEVES,00:00 A 00:59,ESTRELLAMIENTOS,EMBRIAGUEZ O DROGA,URBANA,0,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,FEBRERO,DOMINGO,00:00 A 00:59,PÉRDIDA DE PISTA,EXCESO VELOCIDAD,URBANA,1,0,1
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,MARZO,DOMINGO,00:00 A 00:59,ESTRELLAMIENTOS,FACTORES CLIMÁTICOS,URBANA,0,0,0
CHIMBORAZO,RIOBAMBA,MARZO,JUEVES,00:00 A 00:59,PÉRDIDA DE PISTA,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,0,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,MARZO,JUEVES,00:00 A 00:59,CHOQUES,NO RESPETA LAS SEÑALES DE TRÁNSITO,URBANA,1,0,1
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,MARZO,DOMINGO,00:00 A 00:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,MARZO,SÁBADO,00:00 A 00:59,CHOQUES,NO RESPETA LAS SEÑALES DE TRÁNSITO,RURAL,1,0,1
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,MARZO,VIERNES,00:00 A 00:59,CHOQUES,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,0,0,0
GUAYAS,GUAYAQUIL,ABRIL,DOMINGO,00:00 A 00:59,CHOQUES,EXCESO VELOCIDAD,URBANA,0,0,0
BOLÍVAR,GUARANDA,ABRIL,LUNES,00:00 A 00:59,ESTRELLAMIENTOS,MAL REBASAMIENTO INVADIR CARRIL,URBANA,1,0,1
SANTO DOMINGO DE LOS TSÁCHILAS,SANTO DOMINGO,ABRIL,MIÉRCOLES,00:00 A 00:59,CHOQUES,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,ABRIL,MARTES,00:00 A 00:59,CHOQUES,EMBRIAGUEZ O DROGA,RURAL,1,0,1
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,ABRIL,JUEVES,00:00 A 00:59,ESTRELLAMIENTOS,EXCESO VELOCIDAD,URBANA,1,0,1
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,ABRIL,DOMINGO,00:00 A 00:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,0,0,0
CHIMBORAZO,GUANO,MAYO,MIÉRCOLES,00:00 A 00:59,CHOQUES,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,1,0,1
GUAYAS,GUAYAQUIL,MAYO,SÁBADO,00:00 A 00:59,CHOQUES,EXCESO VELOCIDAD,URBANA,1,0,1
GUAYAS,GUAYAQUIL,MAYO,MIÉRCOLES,00:00 A 00:59,CHOQUES,NO RESPETA LAS SEÑALES DE TRÁNSITO,URBANA,1,0,1
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,MAYO,MARTES,00:00 A 00:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,2,0,2
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,MAYO,JUEVES,00:00 A 00:59,PÉRDIDA DE PISTA,EXCESO VELOCIDAD,URBANA,1,0,1
GUAYAS,GUAYAQUIL,JUNIO,DOMINGO,00:00 A 00:59,ESTRELLAMIENTOS,EXCESO VELOCIDAD,URBANA,1,0,1
PICHINCHA,MEJIA,JUNIO,SÁBADO,00:00 A 00:59,ATROPELLOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,0,1,1
CAÑAR,CAÑAR,JUNIO,JUEVES,00:00 A 00:59,CHOQUES,EMBRIAGUEZ O DROGA,URBANA,0,0,0
CHIMBORAZO,RIOBAMBA,JUNIO,LUNES,00:00 A 00:59,CHOQUES,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,JUNIO,VIERNES,00:00 A 00:59,PÉRDIDA DE PISTA,EXCESO VELOCIDAD,URBANA,1,0,1
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,JUNIO,DOMINGO,00:00 A 00:59,CHOQUES,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,JUNIO,DOMINGO,00:00 A 00:59,ESTRELLAMIENTOS,EMBRIAGUEZ O DROGA,URBANA,0,0,0
MANABÍ,CHONE,JULIO,MIÉRCOLES,00:00 A 00:59,PÉRDIDA DE PISTA,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,1,1,2
CHIMBORAZO,RIOBAMBA,JULIO,MIÉRCOLES,00:00 A 00:59,CHOQUES,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
SANTO DOMINGO DE LOS TSÁCHILAS,SANTO DOMINGO,JULIO,DOMINGO,00:00 A 00:59,PÉRDIDA DE PISTA,EXCESO VELOCIDAD,RURAL,0,0,0
CHIMBORAZO,RIOBAMBA,JULIO,VIERNES,00:00 A 00:59,CHOQUES,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,1,0,1
AZUAY,CUENCA,JULIO,SÁBADO,00:00 A 00:59,ESTRELLAMIENTOS,NO RESPETA LAS SEÑALES DE TRÁNSITO,URBANA,0,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,AGOSTO,MIÉRCOLES,00:00 A 00:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,AGOSTO,LUNES,00:00 A 00:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,AGOSTO,MARTES,00:00 A 00:59,CHOQUES,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
GUAYAS,GUAYAQUIL,AGOSTO,LUNES,00:00 A 00:59,CHOQUES,NO RESPETA LAS SEÑALES DE TRÁNSITO,URBANA,0,0,0
BOLÍVAR,CHIMBO,SEPTIEMBRE,MIÉRCOLES,00:00 A 00:59,CHOQUES,EMBRIAGUEZ O DROGA,RURAL,0,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,OCTUBRE,MIÉRCOLES,00:00 A 00:59,CHOQUES,EMBRIAGUEZ O DROGA,RURAL,0,0,0
SANTO DOMINGO DE LOS TSÁCHILAS,SANTO DOMINGO,OCTUBRE,DOMINGO,00:00 A 00:59,CAÍDA DE PASAJEROS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,1,0,1
LOS RÍOS,QUEVEDO,OCTUBRE,LUNES,00:00 A 00:59,CHOQUES,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,1,0,1
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,NOVIEMBRE,MIÉRCOLES,00:00 A 00:59,ATROPELLOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,1,0,1
LOJA,MACARA,NOVIEMBRE,JUEVES,00:00 A 00:59,PÉRDIDA DE PISTA,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,NOVIEMBRE,JUEVES,00:00 A 00:59,ATROPELLOS,IMPRUDENCIA  DEL PEATÓN,RURAL,1,0,1
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,DICIEMBRE,MARTES,00:00 A 00:59,CHOQUES,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,DICIEMBRE,JUEVES,00:00 A 00:59,CHOQUES,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,1,0,1
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,DICIEMBRE,JUEVES,00:00 A 00:59,CHOQUES,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
SANTO DOMINGO DE LOS TSÁCHILAS,SANTO DOMINGO,DICIEMBRE,VIERNES,00:00 A 00:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
CAÑAR,CAÑAR,DICIEMBRE,MARTES,00:00 A 00:59,CHOQUES,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,1,1,2
GUAYAS,GUAYAQUIL,ENERO,DOMINGO,00:00 A 00:59,CHOQUES,NO RESPETA LAS SEÑALES DE TRÁNSITO,URBANA,1,0,1
AZUAY,CUENCA,ENERO,SÁBADO,00:00 A 00:59,PÉRDIDA DE PISTA,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,0,0,0
GUAYAS,GUAYAQUIL,FEBRERO,DOMINGO,00:00 A 00:59,ROZAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,2,0,2
GUAYAS,DAULE,FEBRERO,DOMINGO,00:00 A 00:59,PÉRDIDA DE PISTA,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,0,1,1
IMBABURA,IBARRA,MARZO,JUEVES,00:00 A 00:59,CHOQUES,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
GUAYAS,NARANJAL,ABRIL,MARTES,00:00 A 00:59,CHOQUES,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,1,0,1
EL ORO,MACHALA,ABRIL,MARTES,00:00 A 00:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,1,0,1
LOJA,PALTAS,JUNIO,SÁBADO,00:00 A 00:59,ESTRELLAMIENTOS,FACTORES CLIMÁTICOS,URBANA,0,0,0
AZUAY,GIRÓN,JUNIO,JUEVES,00:00 A 00:59,PÉRDIDA DE PISTA,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,0,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,JUNIO,LUNES,00:00 A 00:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,1,0,1
AZUAY,CUENCA,JULIO,JUEVES,00:00 A 00:59,ESTRELLAMIENTOS,NO RESPETA LAS SEÑALES DE TRÁNSITO,URBANA,0,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,JULIO,VIERNES,00:00 A 00:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,0,0,0
MANABÍ,CHONE,SEPTIEMBRE,JUEVES,00:00 A 00:59,OTROS,OTRAS CAUSAS,RURAL,0,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,SEPTIEMBRE,MIÉRCOLES,00:00 A 00:59,CHOQUES,EMBRIAGUEZ O DROGA,URBANA,2,0,2
GUAYAS,GUAYAQUIL,OCTUBRE,LUNES,00:00 A 00:59,CHOQUES,NO RESPETA LAS SEÑALES DE TRÁNSITO,URBANA,0,0,0
LOS RÍOS,BABAHOYO,OCTUBRE,DOMINGO,00:00 A 00:59,PÉRDIDA DE PISTA,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,1,0,1
GUAYAS,EL EMPALME,NOVIEMBRE,DOMINGO,00:00 A 00:59,ROZAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,1,1,2
GUAYAS,DAULE,DICIEMBRE,MARTES,00:00 A 00:59,PÉRDIDA DE PISTA,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,0,0,0
GUAYAS,GUAYAQUIL,DICIEMBRE,SÁBADO,00:00 A 00:59,ESTRELLAMIENTOS,EXCESO VELOCIDAD,URBANA,0,0,0
TUNGURAHUA,AMBATO,ENERO,VIERNES,00:00 A 00:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
AZUAY,GIRÓN,FEBRERO,SÁBADO,00:00 A 00:59,CHOQUES,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,0,0,0
MANABÍ,JIPIJAPA,MARZO,VIERNES,00:00 A 00:59,PÉRDIDA DE PISTA,FACTORES CLIMÁTICOS,URBANA,0,1,1
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,JUNIO,VIERNES,00:00 A 00:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
MANABÍ,CHONE,AGOSTO,SÁBADO,00:00 A 00:59,PÉRDIDA DE PISTA,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,1,0,1
LOJA,LOJA,AGOSTO,VIERNES,00:00 A 00:59,CHOQUES,EMBRIAGUEZ O DROGA,URBANA, , , 
GUAYAS,GUAYAQUIL,SEPTIEMBRE,MIÉRCOLES,00:00 A 00:59,ATROPELLOS,EXCESO VELOCIDAD,URBANA,1,0,1
AZUAY,CUENCA,DICIEMBRE,DOMINGO,00:00 A 00:59,ROZAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
GUAYAS,GUAYAQUIL,ABRIL,VIERNES,00:00 A 00:59,ROZAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
SANTO DOMINGO DE LOS TSÁCHILAS,SANTO DOMINGO,JUNIO,VIERNES,00:00 A 00:59,PÉRDIDA DE PISTA,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,0,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,JUNIO,SÁBADO,00:00 A 00:59,PÉRDIDA DE PISTA,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,1,0,1
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,AGOSTO,MIÉRCOLES,00:00 A 00:59,CHOQUES,EMBRIAGUEZ O DROGA,URBANA,0,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,AGOSTO,DOMINGO,00:00 A 00:59,ATROPELLOS,IMPRUDENCIA  DEL PEATÓN,URBANA,1,0,1
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,OCTUBRE,SÁBADO,00:00 A 00:59,ROZAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,0,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,ENERO,SÁBADO,00:00 A 00:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,ENERO,DOMINGO,00:00 A 00:59,ROZAMIENTOS,EMBRIAGUEZ O DROGA,URBANA,0,0,0
GUAYAS,GUAYAQUIL,MAYO,DOMINGO,00:00 A 00:59,CHOQUES,NO RESPETA LAS SEÑALES DE TRÁNSITO,URBANA,1,0,1
IMBABURA,IBARRA,AGOSTO,SÁBADO,00:00 A 00:59,CHOQUES,NO RESPETA LAS SEÑALES DE TRÁNSITO,URBANA,1,0,1
GUAYAS,GUAYAQUIL,ENERO,MIÉRCOLES,00:00 A 00:59,CHOQUES,EMBRIAGUEZ O DROGA,URBANA,0,0,0
GUAYAS,DAULE,ENERO,LUNES,00:00 A 00:59,CHOQUES,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,3,1,4
GUAYAS,DURÁN,ENERO,JUEVES,00:00 A 00:59,ESTRELLAMIENTOS,DAÑOS MECÁNICOS,URBANA,1,0,1
COTOPAXI,SALCEDO,ENERO,JUEVES,00:00 A 00:59,CHOQUES,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,0,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,ENERO,MIÉRCOLES,00:00 A 00:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,1,0,1
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,ENERO,MIÉRCOLES,00:00 A 00:59,CHOQUES,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,ENERO,LUNES,00:00 A 00:59,CHOQUES,NO RESPETA LAS SEÑALES DE TRÁNSITO,URBANA,0,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,ENERO,SÁBADO,00:00 A 00:59,CHOQUES,NO RESPETA LAS SEÑALES DE TRÁNSITO,URBANA,0,0,0
GUAYAS,GUAYAQUIL,FEBRERO,VIERNES,00:00 A 00:59,ESTRELLAMIENTOS,EXCESO VELOCIDAD,URBANA,0,0,0
GUAYAS,GUAYAQUIL,FEBRERO,MARTES,00:00 A 00:59,PÉRDIDA DE PISTA,EXCESO VELOCIDAD,URBANA,1,0,1
EL ORO,ARENILLAS,FEBRERO,VIERNES,00:00 A 00:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,0,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,FEBRERO,SÁBADO,00:00 A 00:59,ESTRELLAMIENTOS,EXCESO VELOCIDAD,URBANA,0,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,FEBRERO,SÁBADO,00:00 A 00:59,ESTRELLAMIENTOS,EXCESO VELOCIDAD,URBANA,1,0,1
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,FEBRERO,SÁBADO,00:00 A 00:59,ESTRELLAMIENTOS,EMBRIAGUEZ O DROGA,URBANA,0,0,0
TUNGURAHUA,PELILEO,MARZO,DOMINGO,00:00 A 00:59,PÉRDIDA DE PISTA,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,0,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,MARZO,LUNES,00:00 A 00:59,CHOQUES,EMBRIAGUEZ O DROGA,URBANA,0,0,0
GUAYAS,GUAYAQUIL,ABRIL,MARTES,00:00 A 00:59,PÉRDIDA DE PISTA,EXCESO VELOCIDAD,URBANA,0,0,0
GUAYAS,GUAYAQUIL,ABRIL,JUEVES,00:00 A 00:59,VOLCAMIENTOS,EXCESO VELOCIDAD,URBANA,2,0,2
GUAYAS,GUAYAQUIL,ABRIL,MIÉRCOLES,00:00 A 00:59,PÉRDIDA DE PISTA,EXCESO VELOCIDAD,URBANA,1,0,1
COTOPAXI,LATACUNGA,ABRIL,JUEVES,00:00 A 00:59,CHOQUES,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,0,0,0
AZUAY,CUENCA,ABRIL,VIERNES,00:00 A 00:59,PÉRDIDA DE PISTA,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,1,0,1
LOS RÍOS,BUENA FÉ,MAYO,MIÉRCOLES,00:00 A 00:59,CHOQUES,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,2,0,2
LOS RÍOS,PUEBLOVIEJO,MAYO,DOMINGO,00:00 A 00:59,PÉRDIDA DE PISTA,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,0,0,0
GUAYAS,NARANJAL,MAYO,LUNES,00:00 A 00:59,CAÍDA DE PASAJEROS,IMPRUDENCIA  DEL PEATÓN,RURAL,2,0,2
COTOPAXI,LATACUNGA,MAYO,VIERNES,00:00 A 00:59,CHOQUES,EMBRIAGUEZ O DROGA,URBANA,0,0,0
GUAYAS,GUAYAQUIL,JUNIO,SÁBADO,00:00 A 00:59,PÉRDIDA DE PISTA,EXCESO VELOCIDAD,URBANA,1,0,1
GUAYAS,GUAYAQUIL,JUNIO,LUNES,00:00 A 00:59,PÉRDIDA DE PISTA,EMBRIAGUEZ O DROGA,URBANA,1,0,1
CHIMBORAZO,RIOBAMBA,JUNIO,MARTES,00:00 A 00:59,PÉRDIDA DE PISTA,EXCESO VELOCIDAD,URBANA,0,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,JUNIO,SÁBADO,00:00 A 00:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,JUNIO,VIERNES,00:00 A 00:59,CHOQUES,NO RESPETA LAS SEÑALES DE TRÁNSITO,URBANA,0,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,JUNIO,DOMINGO,00:00 A 00:59,ATROPELLOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,1,0,1
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,JUNIO,DOMINGO,00:00 A 00:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
MANABÍ,PORTOVIEJO,JULIO,DOMINGO,00:00 A 00:59,CHOQUES,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,JULIO,SÁBADO,00:00 A 00:59,PÉRDIDA DE PISTA,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
MANABÍ,PAJÁN,JULIO,MARTES,00:00 A 00:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,2,1,3
SANTA ELENA,SANTA ELENA,JULIO,MARTES,00:00 A 00:59,ATROPELLOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,1,0,1
GUAYAS,GUAYAQUIL,JULIO,LUNES,00:00 A 00:59,PÉRDIDA DE PISTA,EXCESO VELOCIDAD,URBANA,2,0,2
GUAYAS,GUAYAQUIL,JULIO,DOMINGO,00:00 A 00:59,PÉRDIDA DE PISTA,EXCESO VELOCIDAD,URBANA,0,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,JULIO,VIERNES,00:00 A 00:59,PÉRDIDA DE PISTA,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,1,0,1
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,JULIO,SÁBADO,00:00 A 00:59,PÉRDIDA DE PISTA,EXCESO VELOCIDAD,RURAL,1,0,1
COTOPAXI,LATACUNGA,AGOSTO,MARTES,00:00 A 00:59,ESTRELLAMIENTOS,EXCESO VELOCIDAD,URBANA,0,0,0
GUAYAS,GUAYAQUIL,AGOSTO,SÁBADO,00:00 A 00:59,ESTRELLAMIENTOS,EXCESO VELOCIDAD,URBANA,1,0,1
PICHINCHA,RUMIÑAHUI,SEPTIEMBRE,JUEVES,00:00 A 00:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
GUAYAS,GUAYAQUIL,OCTUBRE,JUEVES,00:00 A 00:59,ATROPELLOS,EXCESO VELOCIDAD,URBANA,1,0,1
GUAYAS,MILAGRO,OCTUBRE,DOMINGO,00:00 A 00:59,CAÍDA DE PASAJEROS,IMPRUDENCIA  DEL PEATÓN,URBANA,1,0,1
GUAYAS,DURÁN,OCTUBRE,LUNES,00:00 A 00:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,0,0,0
IMBABURA,IBARRA,OCTUBRE,SÁBADO,00:00 A 00:59,CHOQUES,NO RESPETA LAS SEÑALES DE TRÁNSITO,RURAL,0,0,0
IMBABURA,ANTONIO ANTE,NOVIEMBRE,SÁBADO,00:00 A 00:59,CHOQUES,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,1,0,1
GUAYAS,GUAYAQUIL,NOVIEMBRE,SÁBADO,00:00 A 00:59,ATROPELLOS,EXCESO VELOCIDAD,URBANA,1,0,1
GUAYAS,GUAYAQUIL,NOVIEMBRE,MIÉRCOLES,00:00 A 00:59,ATROPELLOS,EXCESO VELOCIDAD,URBANA,1,0,1
GUAYAS,GUAYAQUIL,NOVIEMBRE,LUNES,00:00 A 00:59,ATROPELLOS,EXCESO VELOCIDAD,URBANA,2,0,2
LOJA,LOJA,NOVIEMBRE,MIÉRCOLES,00:00 A 00:59,CHOQUES,EMBRIAGUEZ O DROGA,URBANA, ,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,NOVIEMBRE,SÁBADO,00:00 A 00:59,CHOQUES,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
SANTO DOMINGO DE LOS TSÁCHILAS,SANTO DOMINGO,DICIEMBRE,JUEVES,00:00 A 00:59,PÉRDIDA DE PISTA,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,0,1,1
GUAYAS,GUAYAQUIL,DICIEMBRE,MARTES,00:00 A 00:59,ATROPELLOS,EXCESO VELOCIDAD,URBANA,1,0,1
GUAYAS,GUAYAQUIL,DICIEMBRE,MARTES,00:00 A 00:59,ESTRELLAMIENTOS,EMBRIAGUEZ O DROGA,URBANA,1,0,1
GUAYAS,GUAYAQUIL,DICIEMBRE,DOMINGO,00:00 A 00:59,CHOQUES,NO RESPETA LAS SEÑALES DE TRÁNSITO,URBANA,1,0,1
GUAYAS,GUAYAQUIL,DICIEMBRE,LUNES,00:00 A 00:59,ESTRELLAMIENTOS,EMBRIAGUEZ O DROGA,URBANA,2,0,2
